location,zh-tw,en,lat,lon
mexicali,墨西卡利,Mexicali,32.6245314,-115.452604
faro-island-sweden,法羅島,Fårö,57.9202761,19.095296
dubai-uae,杜拜,Dubai,25.2296341,55.289585
oman,阿曼,Oman,21.0000287,57.0036901
yucatan-peninsula,猶加敦半島,Yucatan Peninsula,19.34472,-96.36167
mexico,墨西哥,Mexico,23.6585116,-102.0077097
poland,波蘭,Poland,52.215933,19.134422
azerbaijan,亞塞拜然,Azerbaijan,40.3936294,47.7872508
chile,智利,Chile,-31.7613365,-71.3187697
cuba,古巴,Cuba,23.0131338,-80.8328748
taitung,台東,Taitung City,22.7560447,121.1456538
navajo-nation,納瓦霍國,Navajo Nation,35.6800566,-109.0508223
egypt,埃及,Egypt,26.2540493,29.2675469
qatar,卡達,Qatar,25.3336984,51.2295295
slovakia,斯洛伐克,Slovakia,48.7411522,19.4528646
mt-rysy,瑞西山,Rysy,50.2180125,16.4460841
somaliland,索馬利蘭,Somaliland,9.7277474,46.0099127
moscow,莫斯科,Moscow,55.7505412,37.6174782
tanzania,坦尚尼亞,Tanzania,-6.5247123,35.7878438
kyrgyzstan,吉爾吉斯,Kyrgyzstan,41.5089324,74.724091
uzbekistan,烏茲別克,Uzbekistan,41.32373,63.9528098
latvia,拉脫維亞,Latvia,56.8406494,24.7537645
colorado-usa,科羅拉多州,Colorado,38.7251776,-105.607716
fiji,斐濟,Fiji,-18.1239696,179.0122737
san-francisco-usa,舊金山,San Francisco,37.7879363,-122.4075201
iran,伊朗,Iran,32.6475314,54.5643516
laos,寮國,Laos,20.0171109,103.378253
siberia,西伯利亞,Siberia,61,105
louisiana,路易斯安那,Louisiana,30.8703881,-92.007126
indonesia,印尼,Indonesia,-2.4833826,117.8902853
argentina,阿根廷,Argentina,-34.9964963,-64.9672817
germany,德國,Germany,51.1638175,10.4478313
st-louis,聖路易,St. Louis,38.6254063,-90.190009
ukraine,烏克蘭,Ukraine,49.4871968,31.2718321
paris,巴黎,Paris,48.8534951,2.3483915
sweden,瑞典,Sweden,59.6749712,14.5208584
los-angeles,洛杉磯,Los Angeles,34.0536909,-118.242766
pingtung,屏東,Pingtung,22.6628468,120.4915677
ethiopia,衣索比亞,Ethiopia,10.2116702,38.6521203
hawaii,夏威夷,Hawaii,21.2160437,-157.975203
sudan,蘇丹,Sudan,14.5844444,29.4917691
molokai,摩洛凱,Molokai,21.1344895,-157.0071539
puerto-rico,波多黎各,Puerto Rico,18.2247706,-66.4858295
santiago-de-compostela,聖地牙哥德孔波斯特拉,Santiago de Compostela,42.8804219,-8.5458608
us-virgin-island,美屬維京群島,US Virgin Island,18.34,-64.9
pakistan,巴基斯坦,Pakistan,30.3308401,71.247499
malawi,馬拉威,Malawi,-13.2687204,33.9301963
burkina-faso,布吉納法索,Burkina Faso,12.0753083,-1.6880314
armenia,亞美尼亞,Armenia,40.183333,44.516667
north-korea,北韓,North Korea,40.3736611,127.0870417
shikoku,四國,Shikoku,33.560875,133.3718857
st-lawrence-island,聖羅倫斯島,St. Lawrence Island,63.3622853,-170.0369298
alaska,阿拉斯加,Alaska,64.4459613,-149.680909
gansu,甘肅,Gansu,38.0000001,101.9999999
yellowstone-usa,黃石國家公園,Yellowstone,45.9645464,-108.276076
sri-lanka,斯里蘭卡,Sri Lanka,7.5554942,80.7137847
adak-island-usa,埃達克島,Adak Island,51.796225,-176.5744226
utqiagvik-usa,烏特恰維克,Utqiaġvik,71.2905366,-156.78844
dominican-republic,多明尼加共和國,Dominican Republic,19.0974031,-70.3028026
syria,敘利亞,Syria,34.6401861,39.0494106
vietnam,越南,Vietnam,15.9266657,107.9650855
easter-island,復活節島,Easter Island,-27.1259317,-109.3495887
mauritius,模里西斯,Mauritius,-20.2759451,57.5703566
turkmenistan,土庫曼,Turkmenistan,39.3763807,59.3924609
kazakhstan,哈薩克,Kazakhstan,48.1012954,66.7780818
scotland,蘇格蘭,Scotland,56.7861112,-4.1140518
finland,芬蘭,Finland,63.2467777,25.9209164
norway,挪威,Norway,61.1529386,8.7876653
svalbard,斯瓦巴,Svalbard,78.7198519,20.3493328
estonia,愛沙尼亞,Estonia,58.7523778,25.3319078
austria,奧地利,Austria,47.59397,14.12456
sarajevo,塞拉耶佛,Sarajevo,43.856389,18.413056
paraguay,巴拉圭,Paraguay,-23.3165935,-58.1693445
solomon-islands,索羅門群島,Solomon Islands,-8,159
tahiti,大溪地,Tahiti,-17.6873439,-149.4451681
saudi-arabia,沙烏地阿拉伯,Saudi Arabia,25.6242618,42.3528328
kurdistan-iraq,庫德斯坦,Kurdistan,36.2338768,44.7781706
ghana,迦納,Ghana,8.0300284,-1.0800271
benin,貝南,Benin,9.5293472,2.2584408
rwanda,盧安達,Rwanda,-2.0002051,30.0003963
democratic-republic-of-congo,剛果民主共和國,Democratic Republic Of Congo,-3,21
uganda,烏干達,Uganda,1.5333554,32.2166578
south-sudan,南蘇丹,South Sudan,7.8699431,29.6667897
crimea,克里米亞,Crimea,45.3,34.4
georgia,喬治亞,Georgia,42,43.5
colombia,哥倫比亞,Colombia,4.099917,-72.9088133
